sentence1	sentence2	label
so it wouldnt be unfair by that means	i could do one	no_relation
oh great	i hate	Parallel
ah well.	maybe next turn things'll've changed.	Contrast
wasn't sure	gramos ended their turn.	no_relation
ok , thanks guys and good luck!	cheers, was good playing!	Acknowledgement
we'll ask markus, he has all the data	yep	Acknowledgement
want to trade a sheep for a clay?	booo!	no_relation
chameleon: would you take wood for an ore?	rather sheep	Question_answer_pair
no sheep	no	no_relation
tuesday night works for me	no	Contrast
anyone wheat for clay?	no wheat	Question_answer_pair
oh well	dmm ended their turn.	Result
does that mean you won't trade with me, ig?	looks like it	Question_answer_pair
and if you're self employed	the report and/or questions of liability are most important	Continuation
anyone have clay or sheep?	again, have sheep	Question_answer_pair
2 wood?	one*	no_relation
ooops	i think we ended up reasonably even didn't we?	no_relation
what next?	does anyone hae roll highlighted?	Q_Elab
i have spare wood -	anybody have wheat?	Elaboration
anything else?	ugh	no_relation
so i spammed city upgrades	think i had 4/5 cities in the end	Elaboration
by the way, does anybody want a sheep? 	no	Question_answer_pair
great monopolizing	i admire your dastardly nature	Elaboration
no sheep or wood,	sorry	Comment
if they think you're pursuing legal action	sounds like there's a case to be heard	Comment
ty close game.	battling those roads :d	Elaboration
y do we discard?	baddy	Comment
not just now	3 quick no's will suffice :d	no_relation
does anyone need sheep	i need wood	Elaboration
id need two#	have just the one	Question_answer_pair
so i give a sheep to red,	yup	Acknowledgement
ahhh awesome	i fancy another	no_relation
i give 2 ore for 1 clay/wheat	ok?	Clarification_question
anyone got wheat or sheep?	e?	Q_Elab
i need my wheat	same	Parallel
wait, why	you won't get a point?	Q_Elab
hey!	:p	Comment
luckily for everyone else	i need another clay and mood to take road back...	no_relation
(i would,	amycharl ended their turn.	no_relation
ouch	:d	Comment
i'd like wheat or wood	i can give wheat for clay	Question_answer_pair
what are you offering?	(must be really good!)	Elaboration
james linehan	who's who?	Clarification_question
we played an arrangement of this in my brass band this year	sweet.	Acknowledgement
i could see you were getting close	i have three still to play	no_relation
i can give you clay or wood	gotwood4sheep rejected trade offer.	no_relation
no worries	inca has 5 resources.	no_relation
will you get two for an ore?	i'd rather get two ore for two sheep	Question_answer_pair
i got ore	sparkles ended their turn.	no_relation
nancy: have a settlement there...	then just trade	Narration
i have a new computer,	hey	Acknowledgement
any sheep for sale?	nope	Question_answer_pair
i guess,	unless we have time to reschedule the tomas game before 27th?	Alternation
haha, yeah i got very lucky with the vp cards	i kept searching for one	Comment
pleanty sheep here	kersti was first :)	Comment
nope,	ah, all right	Acknowledgement
still not one	dmm ended their turn.	no_relation
yeah i feel rescheduling is probabyl a better idea	i'll send an email anyway	Continuation
i wonder how the deathmatch aspect will affect the amount of trading going on	lol	Comment
not	:/	Comment
where is my sheep??	:d	Comment
and how much ore can you?	thats all i can offer	no_relation
nope	me neither,	Parallel
anyone need a wood?	i'll give you a clay	Question_answer_pair
and he chewed through the adsl cable!	:)	no_relation
nope	anything else for ore?	no_relation
just to move the robber away again	... from jon	no_relation
i kinda need it	wait	Correction
i can do a wood for ore	good man :)	Acknowledgement
anyone have clay?	ljaybrad123 made an offer to trade 3 sheep for 1 clay from the bank or a port.	Result
i can't believe i blocked myself	and i could have gotten a brick.	Continuation
i;ll take 2 ore,	anyone else	Q_Elab
anyone got anything they'd trade for wheat?	i can offer wheat :d	Elaboration
*spare sheep or wheat even	chameleon rejected trade offer.	no_relation
no wheat?	awesome	no_relation
i can trade my sheep for wheat, anyone?	sorry not this time	Question_answer_pair
clay?	sorry	Question_answer_pair
k,	thanks	Comment
if i saw a 7...	 i have to admit i wouldn't weep	Conditional
ah. fun i take it?	so it's ok.	no_relation
anyone have wheat	no	Question_answer_pair
as rare as 4s ;)	that's how it should be!	Comment
yes	k	no_relation
i'll do that	i dunno how to make trades work :(	no_relation
how about wood?	again i can offer clay	Elaboration
nope	mmatrtajova ended their turn.	Result
why last chance?	game is over	Question_answer_pair
what happened?	it just stopped my go...	Elaboration
ore for clay?	sure thing	Question_answer_pair
anyone????	ah, yes,	Question_answer_pair
thanks	yarp.. see you next time..	no_relation
sweet.	most german/austrian composers from the 18th/19th centuries.	no_relation
sweet.	any chance that's on youtube?	Clarification_question
i have none, sorry	yiin made an offer to trade 2 clay for 1 wood from the bank or a port.	Result
yes	whatcha got?	Q_Elab
we all ready to go?	let's go,	Question_answer_pair
some resources would be lovely...	ok then, thanks :)	Acknowledgement
ok anyone got clay?	i can offer generous terms	Elaboration
wts hapning?	it woulndt let me sign in	Question_answer_pair
dont want it...	it's dirty now	Explanation
anyhoo.	clay, anyone?	Continuation
we play 4 each yer?	how about tomorrow?	no_relation
i dont have any sheep	sheep is pretty rare right now.	Comment
the complete opposite here..	do i click start game now?	Clarification_question
clay, anyone?	i will give you 1 clay for 1 ore	Question_answer_pair
anyone have sheep for wood?	me too :p	Question_answer_pair
equally likely for all numbers?	nah	Question_answer_pair
lucky run of 5s at the start	jammy really	Elaboration
oh hold on,	i don't even have a settlement on the port	Explanation
does anyone have wood they can spare	yes	Question_answer_pair
anyone got clay for wood or wheat?	gotwood4sheep made an offer to trade 2 wheat for 1 clay from the bank or a port.	Result
yeah and wheat	what a board!	Continuation
well, it was revenge for earlier ^_^	not	no_relation
wood for wheat?	sorry	Question_answer_pair
yep	i will give you wheat	Elaboration
well played :)	well done	Acknowledgement
a lot of 7s in this game.	yeah	Acknowledgement
rock mountain	this board is rough	Comment
if your up for it	please	Acknowledgement
how's that pizza?	it was a good concept...	Question_answer_pair
anyone will trad wheat  or sheep?	nopes	Question_answer_pair
do u have ore or sheep?	nope,	Q_Elab
what happens now?	do we just quit?	Elaboration
perhaps they're still in a lecture.	still, it looks very nicely laid out to be honest.	no_relation
nope,	yup,	no_relation
i'll trade for brick	ohh	no_relation
well done!	first city.	Comment
trade with the bank..	will do..	Acknowledgement
will for clay	deal	Acknowledgement
ok,	sheep and a wood	Elaboration
ah	yeah,	Acknowledgement
how about wood?	sorry	Question_answer_pair
will anyone give me ore or grain for wood?	i have 2 wood to trade	Elaboration
i have sheep	sorry no..	no_relation
i really need to head off,	what do you need guys?	Result
so dave, what did you have to trade for clay?	wood?	Q_Elab
anyone got shee?p	nope sorry	Question_answer_pair
well played tomas!	you had a lot of point cards?	Clarification_question
anyone got wheat for a sheep?	i think i'd rather hang on to my wheat i'm afraid	Question_answer_pair
17 rounds, 51 rolls	we should have seen 6/36, or about 8/51 10s	Elaboration
e/j?	i'm out too	Question_answer_pair
yer, do	dmm came in the game at 10	Elaboration
no	shawnus ended their turn.	Sequence
wont trade!	jealous	Comment
i meant	i want clay too	Explanation
sorry	oh well!	Acknowledgement
sure.	or 2 wheat for 1 of each	Elaboration
oh! ok,	never mind...	Continuation
cant help her win	:)	Comment
why won't it let me build a road again?	oh weird	Comment
to trade?	i don't have 2 ores to give you.	no_relation
oh ok	are we stopping	Clarification_question
really useful.	ok i'll tak eit	no_relation
thanks	indeed.	Acknowledgement
anyone got a wood?	i may need it to keep the game alive	Explanation
ah, you were quick <	i was slow.	Continuation
ok,	this is very broken on linux,	Elaboration
any wheat to spare?	whatcha got	Q_Elab
we all do!	yeah	Acknowledgement
amanda has more	no...	Correction
anyone selling ore?	dont have any	Question_answer_pair
move on	amycharl made an offer to trade 4 wheat for 1 wood from the bank or a port.	Result
i assume no one has clay that they'll trade?	my clay pit is slightly blocked!	Question_answer_pair
got a ton of the stuff	i dnt hva any	Contrast
we give him til 10 past...	ok	Acknowledgement
too late -	doh!	Comment
reckon we can get thru this in 45mins?!	let's just try	Question_answer_pair
neither :(	that robber is eating all my wheat	Explanation
it isn't	yeah,	no_relation
anyone got more clay?	can offer a range of items	Elaboration
i do....	what do you want?	Q_Elab
got no wood	ok clay then	Result
sweet.  good luck all :)	fwiw i blitz these in 9mins against markus's bots	Comment
will trade a sheep or wood or wheat	wood	Question_answer_pair
if he doesn't turn up	then the final game is the decider.;;;	Conditional
but you have ore??	yeah	Question_answer_pair
where's he at	no idea...	Question_answer_pair
ok	amanda ended their turn.	no_relation
ore in return for a sheep?	yes	Question_answer_pair
sorry,	need my one	Explanation
sheep for clay?	ahh	Question_answer_pair
got sheep by any chance?	i can give clay or ore	Elaboration
sorry, not interested	my bad	Comment
ok, anyone willing to part with a wheat?	gramos ended their turn.	no_relation
phew	i was worried it may lock you out	Explanation
nope	hence still dont get the whole port thing :)	Result
wow crazy	or shall we camp on the server till 8.15!	no_relation
monday and tuesday is not working for me	ah	Acknowledgement
nice work	zorburt ended their turn.	no_relation
i'm getting lots of ore too!	ok,	Acknowledgement
i give an ore	you give me a wheat	Continuation
for some reason i often find 10s are much rarer than they should be	as rare as 4s ;)	Parallel
anyone got ore?	hmmm, i wonder who's going to win this one?	Clarification_question
what are you offering?	umm	Question_answer_pair
:d	but yes	no_relation
the one time an 11 is rolled...	ouch	Comment
thanks	please remember to send me the questionnaire.	no_relation
anyone have clay or sheep?	sheep baaaa	Question_answer_pair
actually	no	Elaboration
(if you have one)?	are you at all interested in trading a sheep for a brick	Conditional
oh william. this again.	ive had one chance to build all game and then there was no where to build	Comment
i think you can reset	yeah	no_relation
sorry	meant period	Explanation
no,	thanks anyway!	Acknowledgement
anyone want sheep	usual offer	Elaboration
well	i'll be a sport	Comment
im happy to	but if no1 comes	Contrast
you can have it back for some ore	no ore just yet	Contrast
ok will trade wood	hold on let me figure this out	Contrast
ore for wood	?	Continuation
/rest of saturday	until then.. yes...	Continuation
eww. fair point.	tomm made an offer to trade 4 clay for 1 wheat from the bank or a port.	no_relation
who got clay	tons of it	no_relation
got one	oh, sabercat, want to trade a clay for a wheat?	Q_Elab
it has to be four of the same thing?	no,	no_relation
you sould do one with each of us,	u mean giv wheat?	Clarification_question
i hast clay	ljaybrad123 made an offer to trade 4 ore for 1 sheep from the bank or a port.	no_relation
sorry, don't want to sound prying :p	ouch :(	no_relation
ah go on	interest on that delayed sheep trade	Explanation
for wheat	2 wheat	no_relation
anyone got any ore?	nope	Question_answer_pair
i think the offer goes to everyone	i think	Contrast
woo...	no ta	Question_answer_pair
4	i can't remember,	Acknowledgement
i'd like wood	anyone want clay?	no_relation
iv never done it	:)	Comment
anyone got clay for wheat?	no	Question_answer_pair
anyone want clay?	woodnsheep made an offer to trade 3 clay for 1 wood from the bank or a port.	Result
we were negotiating a truce	as i need to leave quite soon :/	Explanation
better get rid of some ore	or clay	no_relation
skinny, wood for clay?	nnnoooo	Comment
not me, 	cool :)	Acknowledgement
i could spare ore	but lj may be able to up the offer	no_relation
anyone want wood?	do u want twoo wood?	Q_Elab
i kind of need all my games done next week if possible	ok,	no_relation
i take it this is the right game to be in?	yes,	Question_answer_pair
right,	i'll go fill in the form,	Elaboration
do you have clay?	yep	Question_answer_pair
sheep?	no	Correction
so you have at least 1 left :p	kersti ended their turn.	no_relation
so if i get one	move on	Continuation
gotcha.	well this kind of time works well for me,	Continuation
hey where is everyone from?	germany	Question_answer_pair
yes	i want graom	Elaboration
so your complexity is lost on me :)	dmm ended their turn.	no_relation
anyone want wood for either wheat or clay?	i have nothing	Question_answer_pair
not letting me place :(	that's weird..	Comment
anyone want wheat or wood for an ore?	i'll take a wheat for an ore	Question_answer_pair
got some clay.	well, what would you like for clay	Q_Elab
here we go	i get booted way too often	Comment
if you have wheat?	i do	Conditional
i have wood, 	what you got?	Q_Elab
nope	kk no worries	Acknowledgement
shall we extend?	yea	Question_answer_pair
inca - also the blog is now 2 years old without updates	so he's not really developing catan no mo	Result
i...don't think	euan ended their turn.	Result
i don't suppose	i will	Question_answer_pair
want sheep guys?	:d	Comment
you're basically at 7 points	sorry.	no_relation
anyone want to trade ore for sheep or wheat?	don't have any cards	Question_answer_pair
what are you offering?	for ore? sheep?	Question_answer_pair
hmm	can't remember	Continuation
ccg so wealthy!	okey dokey	no_relation
for a wood	i'll give a wood to ghet	Result
any one have sheep to trade?	yeah	Question_answer_pair
can i get sheep or ore from someone for wheat?	william made an offer to trade 2 wheat for 1 sheep from the bank or a port.	Result
yeah,	ok	Acknowledgement
just for that remark	dmm you're the top threat	no_relation
anyone have an ore for a wheat?	no	Question_answer_pair
i have an ore to give, 	no sheeps here :(	Question_answer_pair
anyone got clay?	if so	Elaboration
close one	just had good trading ports and no 7s when it mattered	no_relation
and i do, of course, hope you feel better soon	maybe longer...	no_relation
man	noooooooooooo!	no_relation
ore?	:d	Comment
ah, sorry have no need of sheep	... from cheshirecatgrin	no_relation
this is going to take forever..	:(	Acknowledgement
jeff	jefty jeff	Alternation
but if no1 comes	can you guys do tomorow night too?	Clarification_question
grade 5 or 6.	and yeah trumpet's great fun	no_relation
oh, well played	congrats	Continuation
yup	i got lucky rolls :)	Elaboration
i cantclick done?	confused.com	Question_answer_pair
*spare	me too	no_relation
whatcha got	deal	no_relation
there we go,	it's a pity	no_relation
yup	:)	no_relation
ash, i cant,	off to a lecture	Explanation
i don't think i need 2	ok 1:1 is fine	Acknowledgement
i do	if you have wheat?	no_relation
noooooo	street wars	Comment
not rolling a 7	enjoy the film	Narration
no	ok then, thanks :)	Acknowledgement
sheep for me?	woodnsheep made an offer to trade 2 wheat for 1 sheep from the bank or a port.	Result
yep	gotcha.	Acknowledgement
yes,	addtime	Result
i want them too	lol	Comment
what i have	i dont know	no_relation
that robber onthe 5	yep,	Acknowledgement
anybody prepared to trade a sheep?	sorry, i got disconected	Background
excellent!	game started.	Result
anyone want clay?	euan?	Q_Elab
ore? wood?	i haave ore	Question_answer_pair
anyone have clay?	tomas ore for clay?	Q_Elab
didn't even see that coming.	nor did i!	Parallel
ok	nareik15 made an offer to trade 2 ore, 1 sheep for 1 wheat from the bank or a port.	Result
yeah i feel rescheduling is probabyl a better idea	sorry about this	Comment
none here	haha, was about to ask exactly the same thing	no_relation
i don't suppose	anyone wants	Continuation
anyone have wood?	i have sheep	Elaboration
but you get 4 each time it gets rolled,	yeah	no_relation
if it trade my ore for the sheep	 typo	no_relation
i have literally got wood for sheep	i will never tire of that	Comment
anyone has sheep?	mmatrtajova has 7 resources.	no_relation
so i have bugger all... annnnd... yes.	tomm ended their turn.	Result
i have wood	so do i :)	Parallel
we can swap ;)	nie to meet you!	no_relation
my dice rolls suck	j ended their turn.	no_relation
good luck guys!	good luck!	Comment
ok, i'll send out a group email	thanks guys	Acknowledgement
it says null needs to discard,	markus sat down at seat 0.	Result
i will do it	thx	Comment
i'd suggest a price,	if he's not here in 7 mins	no_relation
i don't think so	nelsen made an offer to trade 4 wood for 1 clay from the bank or a port.	no_relation
i can offer wood?	oh or a sheep	Continuation
...oh	cool, thanks :)	no_relation
ok -	i'm done	Result
yeah,	yeah,	Question_answer_pair
sheep?	i'll take your first offer	Acknowledgement
ok, see you all soon	see you	Comment
can you do for another sheep?	sure you can!	no_relation
alright,	thanks :)	Continuation
are you doing anything?	i want to build a settlement	Question_answer_pair
for me it's the same	ok, see you all soon	Acknowledgement
or if you want	we could do that now too	Conditional
what do you want?	want can u give	Q_Elab
there's your 9 raef.	you're welcome	Comment
i will trade for ore	had no ore, sorry :(	Question_answer_pair
there goes 1	needed to thieve	Elaboration
yeah	lot of fun :)	Elaboration
well... i've got some really good quality clay.	rennoc1 ended their turn.	Sequence
if you were to email me the form,	sorry	no_relation
need mine, sorry	nareik15 made an offer to trade 2 sheep, 2 wood for 1 clay from the bank or a port.	Result
clay for wood or wheat....	no	Question_answer_pair
seriously?	i know	no_relation
will anyone give me wood, wheat or sheep for clay or ore? :)	nope	Question_answer_pair
back to the desert, foul robber!	anyone got any wheat for an ore?	no_relation
noooo	dave ended their turn.	no_relation
guess what i am short of lol,	clay clay clay	Elaboration
you imp	oh joel,	no_relation
sorry	can someone roll 10 please...	no_relation
ah see, now you have 6!	i didn't want to deploy that soldier so soon >:(	Contrast
i need a clay	ore for what then?	Clarification_question
sorry, wood's not on my menu	:) ok	Acknowledgement
i mixed up the colours	zorburt ended their turn.	no_relation
thanks.	it was nice playing with you.	Continuation
need ore or wheat?	i get an ore, right?	no_relation
sure	how's that pizza?	Clarification_question
ok	seems we'll carry on..	Continuation
boo	nice one.	Continuation
i will 1 sheep for 1 wheat	ok,	Question_answer_pair
so what do we do now?	i think click where you want a settlement	Question_answer_pair
hmmm fair point	if tomas has a smartphone	no_relation
just wool...	sad times	Comment
mine is my spouse	we have a special relationship, as the politicians say	Elaboration
trade 3 of any one resource for another frin the bank.	otherwise it's 4:1/	Continuation
 but maybe niko could?	hmm. sure. we'll email him them	Question_answer_pair
that must be how it shows robber movement.	yes,	Acknowledgement
i've just had an e-mail 	"""ehh sry "	Elaboration
anyone got a sheep?	i need both or none :)	Question_answer_pair
you got clay left?	yeh,	Question_answer_pair
anyone got wood to trade?	no wood, sorry	Question_answer_pair
have any ore?	nope	Question_answer_pair
sorry about that...	you had more...	Explanation
anyone selling ore?	not me	Question_answer_pair
neither	ok monotony time	Acknowledgement
hi again...	so i'm in my happy place	no_relation
if anyone wants wood,	i will trade it for any other resource :/	Conditional
tomm, do you have ore?	yes, yes i do	Question_answer_pair
its seriosuly annoying,	why no internet?	Clarification_question
hey where is everyone from?	uk :)	Question_answer_pair
but no wheat to spare, 	could trade wood though	Contrast
can i get someone's clay?	william ended their turn.	Result
i don't have ore, i'm afraid!	but if i gave you some sheep,	Contrast
oh well, maybe next time!	lol	Comment
what you got?	sheep?	Question_answer_pair
hi,	go ahead!	Continuation
i was hoping to build another road last time to protect it	poor dmm	Comment
if we didn't robber raef.	it might be best	Conditional
and if you asked for £70	default judgement, bang	no_relation
can you do for another sheep?	or	Alternation
yep saturday's looking promising	okay cool	Acknowledgement
anyone want to trade clay for ore? :p	afraid not	Question_answer_pair
4th robber move?	should be called wolfnsheep	no_relation
anyone want some ore for wheat	you sould do one with each of us,	no_relation
can we wait a bit longer?	y.	no_relation
one for one?	sounds good to me	Question_answer_pair
none still	hmm i don't think there's anything else i can use right now...	Acknowledgement
okay	ok	Question_answer_pair
go on then	... from gotwood4sheep	no_relation
fingers crossed this time	yah	Acknowledgement
dont say wood..	woo...	Contrast
i will give you one whole wheat	i must demand 2.	Contrast
it's so sunny, 	it barely feels like evening	Result
which was revenge for you earlier.	ah, how this game goes back :p	Comment
nope	nope neither	Parallel
hello	shawnus sat down at seat 1.	no_relation
he'll be 5-10 mins	cool	Comment
that's 4 in one roll!!	afraid not!	no_relation
stupid robber	i has none	no_relation
thanks	joel ended their turn.	Sequence
make it two?	nah,	Question_answer_pair
damn...again i get nothing	ztime ended their turn.	Sequence
just traded and william's sitting on it	i need it though...	Contrast
two sheep?	no help	Question_answer_pair
ores?	no	Question_answer_pair
well played tomas :d	ok thank you for a game	Acknowledgement
ah dommage :(	gotwood4sheep made an offer to trade 2 wheat for 1 wood from the bank or a port.	Result
ciao.	heh cheers, and best of luck with whatever you do	Acknowledgement
yes	i have ore for you	Elaboration
i have no interenet	and have managed to get to a friends and use her laptop 	Continuation
don't suppose you'd be interested in ore for clay?	ok,	Question_answer_pair
omg	i'm going to throw my computer.	Explanation
haha	just pressed reject.	no_relation
sheep	hmm...	no_relation
sorry	afraid i'm out	no_relation
one*	then no sorry	no_relation
not got any,	... from kittles	no_relation
anyone want to trade wheat or sheep for a clay? 	will offer sheep/wheat	no_relation
if you type cash cash cash in	haha	Comment
ok	joel and euan have marked you :d	Comment
we can't do it with three...	i thought that messes up the league or something	no_relation
huh?	your turn still!	Question_answer_pair
soo... how do we do this?	i think	Question_answer_pair
damn...again i get nothing	ztime has 2 resources.	no_relation
it'll be you only you two anywa	ah, great.	no_relation
clay/ore for wood?	yeah..	Question_answer_pair
i'd rather not steal just yet :d	we'll steal	Acknowledgement
i can't get it to accept	good :d	no_relation
i am giving wood for ore	sry no ore	Question_answer_pair
why not	intemporaliter ended their turn.	no_relation
?	sigh	no_relation
congrats!	thank you.	Acknowledgement
best of luck :d	it's been a real fun season	Comment
rennoc had lost about half way through to be honest	if you get them	no_relation
wtf	my internet hasn't gone down once	Elaboration
can you trade for 3 clays	i'll give you two sheep for 2 clay or for a clay and a wheat or a clay and a wood	Question_answer_pair
anyone has ore?	i *had* ore	Question_answer_pair
welcome back :-)	you haven't missed a turn yet	Continuation
congrats!	i got just the right development card there.	Explanation
can i get an ore?	i'll trade too	Question_answer_pair
brb	back	Continuation
euan?	can offer 2 clay for a sheep?	Q_Elab
once we all have the idea	or are we playing this out entirely?	Alternation
not here,	sorry	Comment
i've laid out my things at the start really badly	:d	Comment
cheers	sabercat ended their turn.	no_relation
then the robber was on it	i could wood or *ahem* sheep	no_relation
don't have any	afraid i haven't seen it rolled either :(	Continuation
i have clay	i can trade clay wood for clay	Result
lol	okay i'm ready!	Acknowledgement
well this kind of time works well for me,	so just let me know :)	Result
how did we fix it last time	when the dice wouldn't roll?	Background
oh, okay	sabercat ended their turn.	Result
anyone got a sheep?	think i need mine	Question_answer_pair
okay	wood for wheat?	Elaboration
any sheep for sale?	i have a sheep to give	Question_answer_pair
she said 	ok 	Acknowledgement
considering my burgeoning resources :d	hehe	Comment
so i get to say the legendary line.	"""anyone got wood for sheep?"" :d"	Elaboration
anyone have clay or ore?	kersti ended their turn.	Result
on my part anyway	hahaha soo true	no_relation
i'll speak to markus about this 5th person who doesn't email	thx	Comment
and i cant end my turn	ah	Acknowledgement
because i'm not totally ready :p	making cookies for a bake sale tomorrow	Explanation
but not registered it properly	ah	Acknowledgement
7	again...	Continuation
yeah i feel rescheduling is probabyl a better idea	am free next week evenings again	Elaboration
don't have 2 wheat	dave rejected trade offer.	Result
chameleon: only for wheat	no sheep free?	Q_Elab
i'd like some sheep?	nope	Question_answer_pair
i don't beieve a 4 has been rolled for some time	believe*	Correction
well done	ok thank you for a game	Acknowledgement
if no1 else can?	and we could have played the one at 7 and 9	no_relation
anyone want ore?	i'm after wood	Elaboration
shall we extend?	*addtime*	Result
not yet,	sorry	Comment
i sort of cut him out >.>	yes!	no_relation
can give you2:1 on clay and ore	thanking you	no_relation
i'm not william	omg..	Acknowledgement
oh	didn't know that was a thing	Explanation
yep saturday's looking promising	sound good :)	Acknowledgement
how about 4 clay for 1 wood and 1 ore?	eww. fair point.	no_relation
i mixed up the colours	this is terrible.	Comment
does anyone have wood?	afraid not	Question_answer_pair
forgot i can't play cards	i just drew,	Elaboration
ctrl z	if only in life there was a ctrl z	Comment
maybe	unfortunately, neither one	no_relation
i can give you a lot for a clay, anyone?	i have clay	Question_answer_pair
well,	as soon as you can.	Continuation
as far as i can tell	yeah	no_relation
soooooon	soooooon	Continuation
anyone got any wheat?	sorry :(	Question_answer_pair
can i get a sheep? 	still no furry beasties here	Question_answer_pair
if you'd had one more game	and congrats on defending the title	Comment
anyone have ore to trade me for wheat or sheep?	no	Question_answer_pair
lol	(i would do your sheep for wood,	no_relation
does anyone got clay or wood.....	i got sheeps and wheat	Elaboration
any more?	we can do the same again	Acknowledgement
lol you got nowhere else to build a settlement :d	the middle of catan is red	Explanation
doesn't look like kieran's coming	indeed, that's a problem	Acknowledgement
or sheep?	amazingly, no o.o	Question_answer_pair
out of both	ok	Acknowledgement
just to make sure you're paying attendion....	lol	Comment
anyone got wood or ore?	i have ore	Question_answer_pair
how about you?	most german/austrian composers from the 18th/19th centuries.	Question_answer_pair
no	oh then nvm	Result
o	omg	Comment
i got wood	gotwood4sheep ended their turn.	no_relation
talk to rennoc first,	it's his go :p	Explanation
anyone got a wood?	i've not got one,	Question_answer_pair
trading 1 ore for one sheep?	hmm..	Comment
anyone have clay for wheat?	ljaybrad123 ended their turn.	Result
nope	and nor will any of us for some time...	Continuation
oh.. i see..	i was still playing my dev card..	Explanation
waiting for one more person.	one participant can't make it;	Explanation
you could roll a 7 though....	true dat :d	Acknowledgement
for what?	... from nancy	no_relation
good game.	we each play four right	no_relation
which i imagine is too pricey	sorry!	no_relation
anyway. bah.	although i guess it depends on how the rolls are simulated	no_relation
anyone have an ore?	not yet	no_relation
i will give a sheep for a clay	nope	Question_answer_pair
i started the game last time	so someoen else ewant to click start game?	Result
anyone have 1 wheat 1 wood for 2 sheep?	no, 	Question_answer_pair
you just did....	oh. never mind, now it did	Acknowledgement
lol	11 11	Elaboration
clay is good	maybe...	no_relation
how about an ore and a sheep for a wood?	sure	Question_answer_pair
tomas, do you want to write an email to everyone?	yes why not	Question_answer_pair
got none	not here,	no_relation
sadly unpaid :(	if it was work-related :/	Contrast
:d good luck	thanks :d	Acknowledgement
but it was only this turn - i remember :p	(i was actually spreadsheeting dice rolls in the last few games,	Contrast
anyone needs wheat	for what?	Q_Elab
great,	more sheep	Elaboration
haha, seriuosly?	yup	Acknowledgement
thanks guys	good stuff. see you guys tomorrow :)	Background
does anyone have clay?	no	Question_answer_pair
