sentence1	sentence2	label
although crude oil prices were significantly higher this year, they weren't strong enough to offset the declining profits in those business sectors at most oil companies	that the price of west texas intermediate, the u.s. benchmark crude, was $4.04 a barrel higher during the third quarter of this year than in the same period last year	Restatement
rolled copper product sales were major contributors to overall sales growth	sales by category rose 24% to 35.23 billion yen, reflecting increased production in automobile, airconditioner and electric machine industries, which are major users of wire and cable products	Restatement
now, among communist reformers, they are objects of envy	food is the reformer's top priority, the key to popular support	Cause
but mr. achenbaum pioneered negotiated fees, which often worked out to less than 15%	"more recently, he negotiated ""indemnification"" clauses in which an ad agency in some cases must pay a client if it drops the account"	Asynchronous
some investment advisers are suggesting, in effect, a bet on a start-up investment pool -- maybe even on margin.others prefer deep-discount zero-coupon bonds	still others say, why not take a chance on a high-octane growth fund	Conjunction
separately, the bill gives authority to the department of housing and urban development to facilitate the refinancing of high-interest loans subsidized by the government under the so-called section 235 home-ownership program for lower-income families	this provision met early and strong resistance from investment bankers worried about disruptions in their clients' portfolios	Contrast
vernon e. jordan was elected to the board of this transportation services concern	mr. jordan has served as executive director of the united negro college fund, director of the voter education project of the southern regional council and attorney-consultant to the u.s. office of economic opportunity	Asynchronous
in france, more than half the top 25 blue-chip stocks didn't open until wall street rallied late in the european trading day	the rally transformed some big sell orders into big buy orders, solving an order-imbalance problem	Cause
many junkholders had been hoping that kkr and mr. gillett would invest new money in sci tv	those investors think sci tv needs new equity to survive	Cause
mr. nahas yesterday blamed his predicament on the president of the sao paulo stock exchange	a few days before mr. nahas's failure, the exchange raised the required margin on stock-margin transactions	Cause
these people used to be called brokers, but apparently this word either is not grandiose enough or carries too many negative connotations from the aforementioned technical correction, when terrified customers couldn't raise brokers on the phone	"either way, the word ""broker"" is clearly out of favor"	Cause
on friday, the stock-index futures market was unhinged from the stock market when the chicago mercantile exchange halted trading in standard & poor's 500 futures contract	futures trading resumed a half-hour later, but the session ended shortly thereafter, leaving the stock market set up for more sell programs, traders said	Asynchronous
a uniquely american product tied to frontier folklore	how was the west won?with a six-shooter in one hand and bourbon in the other	Restatement
profit for the year ended sept. 30 rose to more than $800,000 from $446,000 last year	per-share earnings are estimated at more than 40 cents, up from 22 cents for fiscal 1988	Conjunction
which at least have clear brand images	merkur, as an import on domestic car lots, suffered from the same sort of image confusion that is hobbling sales of imports at general motors corp. and chrysler corp	Contrast
that american children, on the whole, are among the most undisciplined in the world, making any attempt at improvements in the mode of education potentially unsuccessful	unless parents and educators alike start to develop more discipline in children, all the worthy concern, discussions and actions will not solve the problem	Cause
that in the past, banks would normally have loaned 65% of a total buy-out price	another 20% of the borrowed funds would come from the sale to investors of junk bonds	Conjunction
that in the 20 years before gramm-rudman was enacted in 1985, federal spending grew by about 11% a year	since the law, it's grown at under 5% annually	Contrast
say you purchased a stock because of a new product that was in the works	now, because of various difficulties, the product has been scrapped	Contrast
we have no independent evidence linking fatah to any acts of terrorism since dec. 15, 1988	so far, this list doesn't change our view	Conjunction
"that you are confusing tax ""rates"" with tax ""payments"	your sept. 29 page-one story on the house-passed capital-gains plan is a good example	Instantiation
an additional 56% of this year's respondents expect the economy to slow down during the next 12 months	only 42% of last year's respondents anticipated slowing growth	Contrast
rep. chalmers wylie, an ohio republican, rallied to the cause	i think the gentlelady is making an important statement	Restatement
our customers watch us for the hidden message	look a customer right in the eye and say, `i'm glad to be at wang	Cause
some, particularly in west coast earthquake zones, are dusting off their evacuation plans, checking food stocks and reminding employees of what to do if emergency strikes	they feel confident that steps they've already taken would see them through a disaster	Contrast
the treasury's benchmark 30-year bond gained about an eighth of a point, or about $1.25 for each $1,000 face amount	the yield on the issue slipped to 7.92%	Conjunction
"in 1988 new era sought a permanent injunction to restrain henry holt & co. from publishing ""bare-faced messiah"" on the ground that mr. miller's quotations from mr. hubbard infringed the copyrights"	"the publisher argued in response that the ""fair use"" statute permits quotation ""for purposes such as criticism, comment, news reporting, teaching, . . . scholarship, or research"	Contrast
the results were fascinating	"on the fourth ""run"" with the borrowed rod, the experiment began producing excess heat"	Restatement
even staunch anti-bike sierra members concede that 10% of all riders cause most of the problems	"while some are renegade riders who simply scorn regulations, much bad riding simply reflects ignorance that can be corrected through ""education and peer pressure"	Contrast
the volume we received from the banks was a lot lower than usual	a disaster-contingency plan in which the los angeles fed would come to san francisco's aid wasn't needed	Cause
as a result, mr. telzrow said he cut his fiscal 1990 per-share earnings estimate for tandy to $4.05 from $4.20	tandy earned $88.8 million, or $3.64 a share, in the year ended june 30	Contrast
for them, it makes all kinds of sense	"they've been given a mandate from switzerland"" to expand their u.s. chocolate operations"	Cause
ideally he wants to get backing from a japanese department store and a european department store to forge a global retailing network	when you look at the economics, traub needs a japanese and a european partner to make it work	Cause
the most important governments have ignored the role of low tax rates in attracting real capital investment, instead emphasizing financial flows in response to high interest rates	this has led them in a fruitless and destructive policy circle	Cause
why had mr. korotich been called	"that he was taking my butt to the central committee so they can . . ."" whack, whack, whack his hand made vigorous spanking gestures on his left palm"	Cause
at hewlett-packard co., the earthquake came just as the company was reviewing its own emergency procedures	we were talking about scheduling a practice drill for november	Restatement
quick-service restaurant units in the u.s. rose 14% to 131,146 between 1983 and 1987, the last year for which figures are available	with the market so crowded if you're doing well, you're doing well at someone else's expense	Cause
"during the late 1970s, he was part of a musical ""brat pack"" -- a group of budding virtuosos who studied at the juilliard school with the noted pedagogue dorothy delay"	his violin classmates included shlomo mintz, a protege of isaac stern who performed with major orchestras while still a student; cho-liang lin, who joined the roster of icm artists inc. at the age of 18; and nadja salerno-sonnenberg, who launched her career by winning the 1981 naumberg competition	Restatement
it now holds just under 5% of paribas's shares	once he realized that paribas's intentions weren't friendly but before the bid was launched, he sought approval to boost his paribas stake above 10%	Contrast
under the new northeast utilities plan, it would pay $1.65 billion in cash to creditors and assume $100 million in pollution control bonds	secured creditors would recover both principal and interest, while unsecured creditors would receive only principal and interest accrued before ps of new hampshire filed for bankruptcy code protection in january	Conjunction
you twist people's trust	you built your career on prejudice and hate	List
israel ortiz is only one of the thousands of entrepreneurs and their employees who will be injured or killed by crime this year	that almost 2% of all retail-sales workers suffer injuries from crime each year	Restatement
the soviets should be willing to set in motion a process that would allow them to acknowledge that sverdlovsk violated the 1972 agreement or, alternatively, that would give u.s. specialists reasonable confidence that this was a wholly civilian accident	until that happens, glasnost cannot begin to deserve the kind of credibility mr. shevardnadze was bidding for with his confessions on monday	Contrast
it's good exercise	but i like meeting the girls	Conjunction
"even so, ""we're looking for chaos"	if there's any way you can do it, you ought to go to idaho and go fishing for a while	Cause
the cd trend runs counter to the direction of short-term interest rates at the treasury bill auction monday	the average six-month bill was sold with a yield of 8.04%, up from 7.90%	Instantiation
that selling pressure wasn't enormous and that the dax dropped friday more on a lack of any substantial buying interest	contributing to the downward drift was the fact that many professional traders had chosen to square positions ahead of the weekend	Conjunction
and earnings have been erratic	"in the the latest quarter, thanks in part to ""batman,"" guber peters earned $5.8 million, or 50 cents a share, compared to a loss of $6.8 million, or 62 cents a share, in last year's quarter"	Instantiation
chinese and foreign economists now predict prolonged stagflation: low growth and high inflation	the economy is crashing hard	Restatement
the thing it says about mips is that they're on a roll right now	they're getting some major wins	Restatement
both companies are conservative marketers that rely on extensive market research.p&g, in particular, rarely rolls out a product nationally before extensive test-marketing	both can be extremely aggressive at pricing such products as soaps and diapers -- to the extent that some industry consultants predict cents-off coupons for mascara could result from their entry into the field	Conjunction
ginnie mae's 9% issue for november delivery finished at 98 1/2, up 4/32, and its 10% issue at 102 3/8, up 4/32	freddie mac's 9% issue ended at 97 19/32, up 2/32	Contrast
critics of the present arrangement are correct to say that it is undemocratic	what is undemocratic is the unwillingness of the more political parts of the government to take the responsibility for deciding the basic question of monetary policy	Restatement
in one, imports and exports continue to grow at the respective average rates of 25% and 5% recorded during the first seven months, and the current-account deficit widens to $13.1 billion	in 1985, china had a record deficit of $11.4 billion	Asynchronous
we won't have any more of this wayward behavior	the party is fed up with sackings of good people	Cause
a search party soon found the unscathed aircraft in a forest clearing much too small to have allowed a conventional landing	what's more, the seven mail personnel aboard were missing	Conjunction
east germany pledged to reduce alcohol consumption by boosting production of soft drinks and fruit juices	that the rise in alcohol consumption in east germany had been halted	Conjunction
the hurricane damage wasn't extensive enough to prompt premium boosts	the companies just gave back what they had reserved for	Restatement
and recommended that its clients shift funds from kellogg to general mills	kellogg dropped 1 3/4 to 73 1/4	Cause
the treasury's benchmark 30-year bond ended about 1/2 point higher, or up about $5 for each $1,000 face amount, while the yield slid to 7.93% from 7.98% friday.municipals ended mixed, while mortgage-backed and investment-grade corporate bonds rose	prices of high-yield, high-risk corporate securities ended unchanged	Conjunction
charles a. pearce, 66 years old, will retire from his post as chief executive officer of this bank holding company effective dec. 31	he will remain chairman	Contrast
the outlook for corporate earnings is fairly bleak	"it's quite likely we're going to get repeats"" of the mid-october market shocks"	Cause
"that when he spoke out a few years ago, ""i didn't say forever, and i didn't say every property"	the market changed	Conjunction
that sort of approach, however, hasn't worked since the addition of tiger	its 6,500 workers, who had battled tiger's management for years over givebacks, were union members until the day of the merger, when most of their unions were automatically decertified	Cause
moreover, the extensive program in effect establishes a floor for the stock price	"the buy-back ""is really a comfort to those who want to buy the stock that there is a {price} floor"	Cause
conservative japanese investors are put off by what they consider mexico's restrictive investment regulations and loose work habits	"from the mexicans' viewpoint, vaunted tactics of methodical japanese managers don't count for much in a land where a saying says ""there are no fixed rules"	Contrast
world-wide sales of warner-lambert's non-prescription health-care products, such as halls cough tablets, rolaids antacid, and lubriderm skin lotion, increased 3% to $362 million in the third quarter	u.s. sales rose 5%	Contrast
examine what has changed	investors should consider selling if there has been a fundamental change in a company since they bought its stock	Instantiation
there have been a dizzying parade of studies of the firm's operations	more than 20 new managing directors and senior vice presidents have been hired since january	List
it's more of an important issue to keep control of those assets, rather than push the investor to move into (specific) products such as equities	the equity decision will come when the client is ready and when there's a semblance of confidence	Pragmatic cause
the ku klux klan was revived in the 1920s as a national organization aimed at catholics and jews as well as blacks	"one reason for its downfall was the murder trial of d.c. stephenson, an indiana leader whose reckless career is depicted in this film starring mel harris (""thirtysomething"") and john heard"	Conjunction
one man wrapped several diamonds in the knot of his tie	another poked a hole in the heel of his shoe	List
this seems to be the season for revivals in chicago	"though the cubs' championship season ended with the national league playoffs, a revival of the organic theater's production of ""bleacher bums,"" a play in nine innings set in the wrigley field bleachers, continues within spitting distance of the ballpark"	Cause
net income at mobil corp. slipped 4.5% to $532 million, or $1.30 a share, from $557 million, or $1.36 a share	revenue declined $518 million, to $13.63 billion	Conjunction
the dollar weakened against most other major currencies	in late new york trading, the dollar was quoted at 1.8470 marks and 141.90 yen, compared with 1.8578 marks and 142.43 yen late friday	Restatement
all of the big three suffered in the just-ended period, however, with sales of all domestically made cars, including those built at japanese-managed plants, falling 19% to 158,863 from a year earlier	the seasonal adjusted annual selling rate was six million vehicles, a small improvement from the 5.8 million rate of early october, but a big drop from the 7.1 million rate a year ago	Conjunction
at closing time, farmers cart out most of what they carted in	a private market like this just isn't big enough to absorb all that business	Cause
and everybody's showing off	the guys are being macho, and the girls are walking around in little things	Instantiation
the nasdaq composite leaped 7.52 points, or 1.6%, to 470.80	its largest previous rise this year came aug. 7, when it gained 4.31	Contrast
this year congress, with prodding from president bush, has been busy trying to put many of these same tax preferences back into the code	it appears likely that, this year or next, some form of capital-gains preference and passive-loss restoration will be enacted	Cause
we are still looking	the banks we think would fit into our concept are either government-owned or not for sale, though deutsche bank would be able to pay a good price	Pragmatic contrast
economic circumstances are such that both south africa and the soviet union, the principal gold and platinum producers, are being forced to continue selling the metals	both are in great need of foreign exchange	Restatement
"formally or informally, train all your managers and supervisors in the company's due-process approach.see that they know company personnel policy backwards and forwards, for it is the ""law"" governing company courts and adjudicators"	coach them in handling complaints so that they can resolve problems immediately	List
that that will start to change this fall, with its new version of the stanza compact sedan	the stanza has been a nonentity compared with honda's hugely successful accord and toyota's camry	Asynchronous
note that the younger couple's portfolio has a higher expected annual return, 10.1% vs. 8.8%	that largely reflects the heavy stockholdings	Cause
the preferred holders total package would equal about 60% of their claims	common shareholders would end up owning about 6.4% of the combined company	Contrast
since world oil prices collapsed in 1982, the government has siphoned pemex's coffers to make payments on mexico's $97 billion foreign debt	little money has been returned to upgrade pemex's aging facilities	Contrast
still, two-thirds of the outflow has been steered into other vanguard portfolios	the fund now holds a cash position of about 15%	Cause
for those who delight in the misfortune of others, read on	this is a story about suckers	Cause
west german government bonds fell as much as 0.60 point in light, nervous trading	the 7% treasury bond due october 1999 ended off 0.60 point to 99.35 to yield 7.09%, while the 6 3/4% notes due 1994 fell 0.35 point to 97.25 to yield 7.45%	Instantiation
one trend that continues is growth in the money invested in funds	buoyed by the continued inflows into money funds, assets of all mutual funds swelled to a record $953.8 billion in september, up fractionally from $949.3 billion in august	Instantiation
"the recent increase in orders ""puts us well on the way to our goal of $1.6 billion in bookings for the year"	i expect to see the earnings momentum we experienced this quarter continue for the rest of the year	Restatement
and most average a leisurely 5-10 miles an hour	when the balloon is cruising along at a steady altitude there is little sense of motion	Cause
the market quickly discounted the weekly inventory report showing a 6.3 million barrel decrease in u.s. crude oil stocks as the legacy of hurricane jerry	that storm hit the gulf coast oct. 13, closing the louisiana offshore oil port for a time and preventing tankers from unloading	Cause
that recent developments in eastern europe will expand markets for u.s.-made machine tools in that region	there is demand for state-of-the-art machine tools in the soviet union and in other eastern european countries as those nations strive to improve the efficiency of their ailing factories as well as the quality of their goods	Cause
in 1979, his career as an industrialist began with the acquisition of the swiss metals works selve, based in thun	with the nonferrous metals business undermined in switzerland by tough foreign competition and high domestic costs, this looked like a dull undertaking	Synchrony
in fact, a very high-ranking soviet official told an american official at a diplomatic dinner that no change in the policy was contemplated	the day after that conversation at the residence of the u.s. ambassador, the brezhnevite editor of pravda, victor afnasjev, was replaced by a college classmate of mr. gorbachev's	Asynchronous
in 1900, for instance, less than 8% of assets went into bank deposits	that rose to nearly 18% during the depression	Asynchronous
but the japanese insist upon japanese managers everywhere they set up shop	do the japanese feel so superior that they cannot find capable american managers	Cause
that investors buy the shares of great atlantic & pacific tea, j. baker, mcdonald's, philip morris and sara lee	that all of these companies will be able to compete fiercely in an economic downturn	Cause
the quake damaged the offices of j. walter thompson, chiat/day/mojo and ddb needham, among others	staffers at thompson, whose offices are in the ultramodern embarcadero center, watched pictures drop from the walls and then felt the skyscraper sway seven to eight feet, according to a spokeswoman	Instantiation
but not every company expects to report increased earnings	third-quarter net plunged 51% to $9.9 million, or 18 cents a share, from $20 million, or 35 cents a share, a year earlier	Instantiation
that a red-faced shearson must have been wildly bullish on stocks in its original commentary, and that's why it purged its pages	"that shearson last week had been advising that ""the market is still exhibiting all the signs of a further advance"	Cause
no reason for the request was given	credit agricole officials couldn't be immediately reached for comment	Conjunction
although neither really applied	the spot dislocations that showed up were largely the result of confusion (much of it in washington)	Restatement
it depends on what happens	if the economy slips into a recession, then this isn't a level that's going to hold	Instantiation
"we'll raise it through bank loans.we'll raise it through {new} equity.and we'll raise it through existing shareholders"" as well as through junk bonds"	the bank loan, to be arranged by february, will supply about half of the financing	Restatement
with three minutes left on the clock, mr. aikman takes the snap, steps back and fires a 21-yard pass -- straight into the hands of an atlanta defensive back	the crowd groans, mr. jones shakes his head, the cowboys lose the game	Cause
his magazines will offer what many women's magazines don't	we write straight for women on their level	Restatement
investment and emigration plans take time to come to fruition	only four months have passed since the beijing massacre, and few are prepared to predict its ultimate impact	Restatement
so two cheers for the new rules	justice has finally recognized its employees' abuses, thanks largely to the demands for reform by former u.s. attorney in washington joseph digenova, who wants to salvage rico for real criminals	Cause
men were a constant complication	baker had lots of them	Conjunction
japan is not a political country	it is a bureaucratic country	Contrast
complex cases, such as antitrust suits and many business disputes, would receive intense supervision by federal judges to keep pretrial proceedings moving	standard cases would require less judicial attention, and fast-track cases could be resolved quickly	Contrast
"there's quite a bit of value left in the {jaguar} shares here even though they have run up"" lately"	at the moment, he intends to keep the firm's 180,000 jaguar shares	Cause
that a representative's duty was to speak not for the narrow interests of one group but instead for the common good	large, heterogeneous election districts would encourage good government because a representative would be compelled to serve the interests of all his constituents and be servile to none	Cause
stores in upper-income neighborhoods, for instance, will carry high-priced wines, publications such as vanity fair, gourmet pasta sauces, oat bran cereals and weight watchers and pritikin products	stores in hispanic areas will stock an assortment of spanish-language magazines, mexican cooking items and candies	Contrast
that an inventory of pinkerton's memorabilia disclosed that one of the watches hadn't been forked over by american brands	american brand's failure to surrender the gold watch has damaged new pinkerton's in an amount as yet {to be} determined and deprived it of a valuable artifact for which it had bargained	Conjunction
this isn't a technology issue, but an attitude issue	we just haven't learned what it takes to compete	Restatement
it's the whole uncertainty about what's happening around us	if you take away the outside influences, the market itself looks very cheap	Conjunction
that a one million share buy-back program announced in march is substantially complete	the company, which makes integrated circuits and other electronic parts, now has about 47 million common shares outstanding	Cause
more seriously, fmha has carried several billion dollars of defaulted loans at face value	until gao's recent audit, fha books had not been subject to a complete external audit in 15 years	Conjunction
separately, century bank, phoenix, ariz., was closed by arizona banking officials	the federal deposit insurance corp. approved the assumption of century's deposits and fully secured liabilities by a newly chartered subsidiary of valley capital corp., las vegas	Restatement
they are cutting ticket prices by as much as 70% from normal levels for travel to most u.s. locations on dec. 24, 25, 29, 30 and 31, and jan. 4, 5 and 6	the promotions put round-trip fares at $98, $148 and $198	Cause
and the second largest in the four-year history of the $45 billion asset-backed market	the largest issue was a $4 billion offering of auto-loan securities by general motors acceptance corp. in 1986	Contrast
in the first nine months, 1,977 transactions were announced, up 15% from 1,716 in the year-earlier period	transactions in which prices were disclosed totaled $188.1 billion, up 15% from $163.2 billion a year earlier	Conjunction
but not here	mr. fischer plows his own fields, sows his own corn and sunflowers, and feeds his own sheep	Alternative
we don't need cartoons anymore	they only accounted for 5%, at best, of the station's total revenues	Cause
while ual faltered, amr, the parent of american airlines, pulled out of its recent nosedive by rising 3/4 to 74	the stock had been on the decline	Asynchronous
the process of disintegration in many school systems	the schools' central mission, educating children, became subsumed by the competing interests of bureaucrats, politicians and unions	Restatement
he hasn't been able to replace the m'bow cabal	soviets remain in charge of education programs, a former head of an african military tribunal for executions is in charge of culture, and a hard-line polish communist in exile directs the human-rights and peace division	Cause
few small neighborhood businesses, however, can afford such protection, even in collaboration with other local merchants	in the neighborhoods with the highest crime rates, small business generally relies on the public police force for protection	Cause
i would think that the soviets face a deeper dilemma because they have been more in blinkers than the chinese -- i mean keeping their people cut off from the outside world	mikhail gorbachev is ahead of china's leaders in his awareness of the world	Concession
rockefeller may well have found its match in mitsubishi estate, a company of long history, strong government ties and sound resources	in asset terms, mitsubishi estate is the largest real estate firm in japan	Instantiation
the jokes aren't just on the japanese, though	"regie nationale des usines renault, the french auto maker, has a concept car called the megane.the name is supposed to connote feminine grandeur, but in japanese it means ""eyeglasses"	Instantiation
there's overwhelming evidence to indicate probable criminal activity	"the evidence pointed to wrongdoing by mr. keating ""and others,"" although he didn't allege any specific violation"	Restatement
and, beginning in 1992, it will have a claim on as much as 20% of manville's annual net income	even so, the trust would seem to be facing a cash crunch	Contrast
a similar technique is almost impossible to apply to other crops, such as cotton, soybeans and rice	the male part, the anthers of the plant, and the female, the pistils, of the same plant are within a fraction of an inch or even attached to each other.the anthers in these plants are difficult to clip off	Cause
before his assassination in 1988, president zia of pakistan repeatedly stated that fresh soviet troops were being inserted into afghanistan even as others were ostentatiously withdrawn	rep. bill mccollum (r., fla.) reports that these included 20,000 to 30,000 soviet central asian kgb border guards, ethnically indistinguishable from afghans and wearing unmarked uniforms	Conjunction
you lead readers to believe that the house reduced the capital-gains tax for two years only	you virtually ignore the tax-reducing power of indexation, which in many cases is more substantial than a lower rate	Conjunction
"the preliminary conclusion from a survey of 200 downtown high-rises is that ""we were incredibly lucky"	while many of these buildings sustained heavy damage, little of that involved major structural damage	Cause
still, investors will take some convincing before they get back into ibm's stock in a big way	that while investors were looking for an excuse to buy ibm shares a year ago, even the big institutional investors are looking for a reason to avoid the stock these days	Restatement
that he would end the cease-fire this week in response to the periodic contra assaults against his army	that he would continue to abide by the cease-fire if the u.s. ends its financial support for the contras	Asynchronous
but the implications of such a shift to market approaches go well beyond the fact that poland is already working on nationwide emissions trades to reduce smelter pollution, or that the soviets plan to introduce marketable pollution permits in some republics next year	those implications include: -- privatization	Restatement
when it lowered its tax on imported spirits and levied a tax on many domestic products	california wineries, benefiting from lowered trade barriers and federal marketing subsidies, are expanding aggressively into japan, as well as canada and great britain	Cause
steppenwolf needs the extra seats even more than the fly space	it's currently forced to turn away many potential subscribers beyond the 13,000 who can be accommodated in its present digs	Cause
but to reduce it further production and supply of other beverages, including fruit juices, should be stepped up	that shops will have to continue reducing their stocks of liquor and avoid displaying them too prominently in the window	Conjunction
one of the council's goals, set in 1980, was to see more than 60% of adults under 65 years of age getting vigorous exercise by 1990	that target has been revised to 30% by the year 2000	Contrast
in the aftermath of the california earthquake, president bush and his aides flew into a whirlwind of earthquake-related activity yesterday morning	some of it was necessary to get federal help flowing to victims, but some seemed designed mostly to project an image of a white house in action	Conjunction
